espece,nombre_total,coord_x,coord_y,altitude,annee,methode,typologie,structure_1,structure_2,localite,canton,bio1,bio12,bio2,bio5,pca1
Apodemus flavicollis (Mulot à collier),1,694766,220221,908,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18214,80,202,-1.59000716425127
Sorex araneus (Musaraigne carrelet),1,694868,220404,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Rothethurm,SZ,66,18176,80,203,-1.60303973117943
Clethrionomys glareolus (Campagnol roussâtre),1,694873,220379,917,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18186,80,203,-1.60327426327823
Clethrionomys glareolus (Campagnol roussâtre),1,694873,220379,917,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18186,80,203,-1.60327426327823
Clethrionomys glareolus (Campagnol roussâtre),1,694873,220379,917,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18186,80,203,-1.60327426327823
Clethrionomys glareolus (Campagnol roussâtre),1,694873,220379,917,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18186,80,203,-1.60327426327823
Clethrionomys glareolus (Campagnol roussâtre),1,694873,220379,917,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18186,80,203,-1.60327426327823
Clethrionomys glareolus (Campagnol roussâtre),1,694873,220379,917,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),NA,Rothethurm,SZ,66,18186,80,203,-1.60327426327823
Apodemus flavicollis (Mulot à collier),1,695121,221957,915,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Lisières forestières (conifères),Ruisseau (sans végétation),Einsiedeln,SZ,66,17942,80,203,-1.58841356002384
Microtus agrestis (Campagnol agreste),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Clethrionomys glareolus (Campagnol roussâtre),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Clethrionomys glareolus (Campagnol roussâtre),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Clethrionomys glareolus (Campagnol roussâtre),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Clethrionomys glareolus (Campagnol roussâtre),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Microtus agrestis (Campagnol agreste),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Sorex araneus (Musaraigne carrelet),1,695520,222198,916,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17768,80,203,-1.58119530029429
Sorex araneus (Musaraigne carrelet),1,695578,222200,915,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17775,80,203,-1.58224379970669
Sorex araneus (Musaraigne carrelet),1,695578,222200,915,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17775,80,203,-1.58224379970669
Sorex araneus (Musaraigne carrelet),1,695578,222200,915,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17775,80,203,-1.58224379970669
Sorex araneus (Musaraigne carrelet),1,695578,222200,915,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17775,80,203,-1.58224379970669
Sorex araneus (Musaraigne carrelet),1,695578,222200,915,2014,Lebendfalle : PVIV,Milieux humides (Hauts marais),Structures linéaires arborées dans les paysages agricoles,NA,Einsiedeln,SZ,66,17775,80,203,-1.58224379970669
Apodemus sylvaticus (Mulot sylvestre),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Microtus agrestis (Campagnol agreste),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Microtus agrestis (Campagnol agreste),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Microtus agrestis (Campagnol agreste),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Microtus agrestis (Campagnol agreste),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Microtus agrestis (Campagnol agreste),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Neomys fodiens (Musaraigne aquatique),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Neomys fodiens (Musaraigne aquatique),1,695740,211890,1220,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),Lisières forestières (conifères),Alpthal,SZ,57,21263,77,188,-1.00677770722309
Sorex araneus (Musaraigne carrelet),1,695775,210340,1160,2014,Pièges à capturer vivant : PVIV,Prairies,Milieux rocheux naturels,NA,Alpthal,SZ,61,21327,78,194,-1.2495401650544
Clethrionomys glareolus (Campagnol roussâtre),1,696160,210780,1110,2014,Pièges à capturer vivant : PVIV,Milieux humides (prairies humides),Ruisseau (avec végétation),NA,Alpthal,SZ,59,21237,78,192,-1.22646095269778
Microtus agrestis (Campagnol agreste),1,696160,210780,1110,2014,Pièges à capturer vivant : PVIV,Milieux humides (prairies humides),Ruisseau (avec végétation),NA,Alpthal,SZ,59,21237,78,192,-1.22646095269778
Clethrionomys glareolus (Campagnol roussâtre),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Clethrionomys glareolus (Campagnol roussâtre),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Microtus agrestis (Campagnol agreste),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Microtus agrestis (Campagnol agreste),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Microtus agrestis (Campagnol agreste),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Microtus agrestis (Campagnol agreste),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Neomys fodiens (Musaraigne aquatique),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Neomys fodiens (Musaraigne aquatique),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Sorex araneus (Musaraigne carrelet),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Microtus agrestis (Campagnol agreste),1,696915,216660,1015,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,19959,79,196,-1.37494316884656
Neomys fodiens (Musaraigne aquatique),1,696915,216660,1015,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,19959,79,196,-1.37494316884656
Apodemus alpicola (Mulot alpestre),1,697050,211030,1220,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Torrent (avec végétation),NA,Alpthal,SZ,53,21407,76,183,-0.870426914204864
Clethrionomys glareolus (Campagnol roussâtre),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Clethrionomys glareolus (Campagnol roussâtre),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Clethrionomys glareolus (Campagnol roussâtre),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Microtus agrestis (Campagnol agreste),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Microtus agrestis (Campagnol agreste),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
